Configuration	Term	J	Level (eV)	Uncertainty (eV)	Leading percentages	Reference
"2p6.18d"	"2D"	"3/2"	"[5.09701540]"	"0.00000025"	"                                                                                              "	""
"2p6.18d"	"2D"	"5/2"	"[5.09701540]"	"0.00000025"	"                                                                                              "	""
"2p6.18f"	"2F*"	"5/2,7/2"	"[5.09707752]"	"0.00000025"	"                                                                                              "	""
"2p6.18g"	"2G"	"7/2"	"[5.09708297]"	"0.00000025"	"                                                                                              "	""
"2p6.18g"	"2G"	"9/2"	"[5.09708310]"	"0.00000025"	"                                                                                              "	""
"2p6.19p"	"2P*"	"1/2"	"[5.09774988]"	"0.00000025"	"                                                                                              "	""
"2p6.19p"	"2P*"	"3/2"	"[5.09775360]"	"0.00000025"	"                                                                                              "	""
"2p6.20s"	"2S"	"1/2"	"[5.09996883]"	"0.00000025"	"                                                                                              "	""
"2p6.19d"	"2D"	"5/2"	"[5.10132968]"	"0.00000025"	"                                                                                              "	""
"2p6.19d"	"2D"	"3/2"	"[5.10132980]"	"0.00000025"	"                                                                                              "	""
"2p6.19f"	"2F*"	"5/2,7/2"	"[5.10138250]"	"0.00000025"	"                                                                                              "	""
"2p6.19g"	"2G"	"7/2,9/2"	"[5.10138721]"	"0.00000025"	"                                                                                              "	""
"2p6.20p"	"2P*"	"1/2"	"[5.10195468]"	"0.00000025"	"                                                                                              "	""
"2p6.20p"	"2P*"	"3/2"	"[5.10195791]"	"0.00000025"	"                                                                                              "	""
"2p6.20d"	"2D"	"3/2"	"[5.10501275]"	"0.00000025"	"                                                                                              "	""
"2p6.20d"	"2D"	"5/2"	"[5.10501275]"	"0.00000025"	"                                                                                              "	""
"2p6.20f"	"2F*"	"5/2,7/2"	"[5.10505801]"	"0.00000025"	"                                                                                              "	""
"2p6.20g"	"2G"	"7/2,9/2"	"[5.10506197]"	"0.00000025"	"                                                                                              "	""
